# LASERAC V. 6
#-------------------------------------------
# SIDE = 4096
# MAXFOT = 10
# TMAX = 1000
# NFOTRUIDO = 5767    TYPE(0=INIC, 1=CONT)=1
# JUMP THRESHOLD 1->0 = 1
# SEED = 10003
# PBOMBEO = -nan
# TVELECTRON = 180
# TVFOTON = 10
#-------------------------------------------
#  t    ne    nf
#-------------------------------------------
PARAMETERS: PB , TVE, TVF :    0.0125  180  10
0	204767	5765
1	408532	11540
2	612759	17319
3	813980	23091
4	1013209	28899
5	1210033	34722
6	1403711	40611
7	1594955	46518
8	1784745	52487
9	1972109	52750
10	2156788	53077
11	2339414	53471
12	2519192	53896
13	2696789	54351
14	2872448	54854
15	3045526	55382
16	3216386	55911
17	3384327	56445
18	3550883	56950
19	3715807	57524
20	3878518	58095
21	4038581	58621
22	4196312	59255
23	4352718	59897
24	4506398	60512
25	4658116	61125
26	4808803	61758
27	4956433	62575
28	5101635	63438
29	5245879	64334
30	5388301	65267
31	5528557	66426
32	5666802	67469
33	5802887	68527
34	5938142	69649
35	6070773	71018
36	6201801	72370
37	6331471	73716
38	6459203	75111
39	6585051	76603
40	6709222	78113
41	6831535	79691
42	6952044	81479
43	7070141	83418
44	7187723	85438
45	7302722	87446
46	7416212	89784
47	7527238	92175
48	7637144	94764
49	7744866	97573
50	7852050	100550
51	7956616	103693
52	8059683	107055
53	8160536	110690
54	8260045	114755
55	8357450	119000
56	8453402	123338
57	8547706	128025
58	8639930	133272
59	8729481	138960
60	8817622	145060
61	8903807	151458
62	8987773	158324
63	9069704	165714
64	9149315	173603
65	9227140	182381
66	9303261	191578
67	9377016	201629
68	9448102	212348
69	9516721	223923
70	9582774	236281
71	9645821	249785
72	9706039	264398
73	9763741	280032
74	9817412	297267
75	9868185	315630
76	9915062	336239
77	9958633	358472
78	9997943	382517
79	10033042	408538
80	10063875	437045
81	10090036	468089
82	10111492	501588
83	10127625	537998
84	10137355	577512
85	10141634	620452
86	10138871	666905
87	10129734	717224
88	10113087	771390
89	10088852	829691
90	10056715	892243
91	10015685	959639
92	9965625	1032152
93	9906061	1109389
94	9837194	1191068
95	9757751	1278199
96	9668163	1370163
97	9567511	1466850
98	9454043	1569732
99	9329567	1678019
100	9192803	1791727
101	9043527	1910155
102	8882885	2032470
103	8710065	2159090
104	8525157	2289401
105	8328372	2423012
106	8119896	2558748
107	7900798	2696208
108	7671935	2832420
109	7435081	2967249
110	7189823	3099379
111	6938146	3227000
112	6680510	3349597
113	6419622	3465476
114	6156944	3572572
115	5893759	3668458
116	5632692	3751706
117	5375551	3820966
118	5123572	3875678
119	4880540	3913355
120	4647004	3933248
121	4426270	3934197
122	4217836	3916652
123	4024754	3879483
124	3847847	3823468
125	3687997	3749355
126	3546084	3658163
127	3422697	3549967
128	3320291	3425095
129	3237683	3286630
130	3174534	3138078
131	3131313	2975090
132	3107884	2803358
133	3101359	2626422
134	3112947	2444640
135	3141538	2260447
136	3184560	2076434
137	3242318	1895031
138	3313949	1718658
139	3396928	1548778
140	3489160	1390078
141	3590010	1246345
142	3697476	1112820
143	3812508	988852
144	3931809	876881
145	4056702	776439
146	4184662	686288
147	4315037	606922
148	4447097	538015
149	4581182	478202
150	4715810	421596
151	4850590	372021
152	4985102	329174
153	5119979	292726
154	5254750	261531
155	5388841	235299
156	5522398	213297
157	5654806	194972
158	5785585	179842
159	5915511	167338
160	6043365	157377
161	6169704	149531
162	6294861	143517
163	6417471	139257
164	6538602	136167
165	6658971	134087
166	6776028	133513
167	6892467	133422
168	7007200	133870
169	7120010	134979
170	7231195	136559
171	7340688	138701
172	7448186	141296
173	7554243	144525
174	7657655	148303
175	7760139	152598
176	7859167	157255
177	7956654	162482
178	8051715	168526
179	8144666	175241
180	8234692	182556
181	8323420	190485
182	8409559	199107
183	8492939	208275
184	8574323	218197
185	8652555	228939
186	8729358	240458
187	8802995	253282
188	8873368	267198
189	8941047	281829
190	9005778	297361
191	9067513	314276
192	9126367	332428
193	9181353	352127
194	9233188	373216
195	9281362	395578
196	9326387	419809
197	9366945	445331
198	9403551	472151
199	9436288	500937
200	9464378	532068
201	9487219	565161
202	9505700	600200
203	9519055	637311
204	9527355	676662
205	9529436	718727
206	9526908	762906
207	9517747	809752
208	9502398	859209
209	9481184	911444
210	9453814	965808
211	9420161	1023158
212	9379023	1083477
213	9331570	1146193
214	9276636	1211644
215	9213793	1279939
216	9143466	1351619
217	9064768	1426369
218	8977676	1504216
219	8883150	1584539
220	8780177	1668332
221	8668847	1754268
222	8549263	1842053
223	8422195	1931871
224	8286951	2023965
225	8143660	2116790
226	7993095	2210055
227	7836186	2302674
228	7672831	2394491
229	7505246	2479384
230	7333286	2560773
231	7157747	2637912
232	6979734	2709887
233	6802535	2775265
234	6624074	2833832
235	6445526	2884985
236	6267291	2929005
237	6091118	2964493
238	5918640	2995628
239	5749379	3023829
240	5582835	3045413
241	5419660	3059995
242	5260948	3067932
243	5108182	3069393
244	4961455	3063570
245	4820936	3051739
246	4687410	3032430
247	4561816	3007106
248	4444994	2970932
249	4338579	2927161
250	4241391	2874858
251	4154657	2814329
252	4080291	2746204
253	4016254	2672254
254	3963642	2592049
255	3922159	2505308
256	3891933	2413768
257	3872855	2316587
258	3866308	2215405
259	3869260	2112047
260	3883070	2006742
261	3908641	1900008
262	3944377	1793222
263	3989657	1686357
264	4043576	1580021
265	4105201	1475817
266	4174080	1373051
267	4252062	1273714
268	4334823	1178602
269	4424105	1086769
270	4518531	999206
271	4617914	916874
272	4722611	839194
273	4830221	766535
274	4940857	699204
