# LASERAC V. 10 OPTIM
#-------------------------------------------
# SIDE = 1024
# MAX_PHOT = 10
# TMAX = 1000
# nphot_noise = 360    type(0=INIC, 1=CONT)=1
# threshold 1->0 = 1
# SEED = 10003
# PUMPING PROBABILITY MIN = 0.012500
# PUMPING PROBABILITY MAX = 0.012500
# lifet_ELECTRON = 0
# lifet_PHOTON = 0
#-------------------------------------------
#  t    ne    nf
#-------------------------------------------

# NOF THREADS 16  
#----------------------------------------------------------
PARAMETERS: PB , lifet_E, lifet_F :    0.0125  180  10
0	13087	360
1	26016	721
2	38821	1084
3	51466	1444
4	63828	1809
5	76154	2178
6	88268	2549
7	100352	2917
8	112194	3295
9	123772	3316
10	135221	3334
11	146559	3365
12	157796	3398
13	171241	3437
14	182113	3477
15	192885	3526
16	203489	3586
17	214024	3637
18	224446	3680
19	234683	3733
20	244780	3794
21	254841	3834
22	264695	3879
23	274360	3932
24	283946	3977
25	293437	4017
26	302758	4038
27	312023	4085
28	321100	4140
29	330101	4210
30	338988	4265
31	347742	4348
32	356456	4401
33	364934	4455
34	373302	4509
35	381566	4559
36	389762	4638
37	397789	4743
38	405645	4835
39	413494	4898
40	421176	5005
41	428777	5120
42	436386	5250
43	443668	5422
44	450836	5567
45	457974	5741
46	465114	5903
47	472079	6048
48	478894	6197
49	485709	6391
50	492273	6585
51	498769	6791
52	505226	7060
53	511470	7261
54	517658	7530
55	523591	7837
56	529411	8174
57	535166	8493
58	540964	8854
59	546458	9266
60	552006	9652
61	557358	10089
62	562549	10508
63	567701	10985
64	572552	11506
65	577368	11990
66	582069	12517
67	586617	13113
68	590967	13783
69	595225	14457
70	599374	15238
71	603151	16158
72	606755	17112
73	610316	18099
74	613692	19198
75	616677	20474
76	619621	21792
77	622032	23337
78	624590	24919
79	626615	26654
80	628499	28527
81	629907	30455
82	631036	32674
83	631855	35079
84	632273	37685
85	632342	40502
86	631842	43701
87	630769	47049
88	629319	50713
89	627265	54694
90	624917	58879
91	621875	63397
92	618229	68277
93	613841	73694
94	608660	79441
95	602999	85362
96	596641	91532
